ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
176,*/d̪wa/,/d̪wa/,0,0.0,0.0,3,3
177,*/d̪əmi/,/d̪əmi/,0,0.0,0.0,4,4
178,*/d̪ʁit̪/,/d̪ʁwat̪/,2,0.4,0.6346153846153846,4,5
179,*/d̪ʁi/,/d̪ʁwa/,2,0.5,0.6346153846153846,3,4
180,*/d̪in̪je/,/d̪in̪e/,1,0.25,0.38461538461538464,5,4
181,*/d̪əzɔʁd̪ʁ/,/d̪ezɔʁd̪ʁ/,1,0.14285714285714285,0.057692307692307696,7,7
182,*/ʒuʁn̪e/,/ʒuʁn̪e/,0,0.0,0.0,5,5
183,*/ʒuʁ/,/ʒuʁ/,0,0.0,0.0,3,3
184,*/d̪əvɛ̃/,/d̪əvɛ̃/,0,0.0,0.0,4,4
185,*/d̪iʒɔ̃/,/d̪iʒɔ̃/,0,0.0,0.0,4,4
186,*/d̪ulœʁ/,/d̪ulœʁ/,0,0.0,0.0,5,5
187,*/d̪œl/,/d̪œj/,1,0.3333333333333333,0.2692307692307692,3,3
188,*/d̪ɔm/,/d̪am/,1,0.3333333333333333,0.23076923076923078,3,3
189,*/d̪ɔ̃ʒɔ̃/,/d̪ɔ̃ʒɔ̃/,0,0.0,0.0,4,4
190,*/d̪ɔmwazɛl/,/d̪əmwazɛl/,1,0.125,0.1346153846153846,8,8
191,*/d̪uv/,/d̪uv/,0,0.0,0.0,3,3
192,*/d̪ɔn̪e/,/d̪ɔn̪e/,0,0.0,0.0,4,4
193,*/d̪ɔn̪/,/d̪ɔn̪/,0,0.0,0.0,3,3
194,*/d̪ɔ̃/,/d̪ɔ̃/,0,0.0,0.0,2,2
195,*/d̪uʁmiʁ/,/d̪ɔʁmiʁ/,1,0.16666666666666666,0.07692307692307693,6,6
196,*/d̪ɔʁ/,/d̪ɔʁ/,0,0.0,0.0,3,3
197,*/d̪ɔʁt̪waʁ/,/d̪ɔʁt̪waʁ/,0,0.0,0.0,7,7
198,*/d̪ɔʁ/,/d̪o/,2,1.0,0.6153846153846154,3,2
199,*/d̪ʁɑ/,/d̪ʁa/,1,0.3333333333333333,0.07692307692307693,3,3
200,*/d̪ʁa/,/d̪ʁa/,0,0.0,0.0,3,3
201,*/d̪ut̪/,/d̪ut̪/,0,0.0,0.0,3,3
202,*/d̪us/,/d̪us/,0,0.0,0.0,3,3
203,*/d̪u/,/d̪u/,0,0.0,0.0,2,2
204,*/d̪ø/,/d̪ø/,0,0.0,0.0,2,2
205,*/d̪ubl/,/d̪ubl/,0,0.0,0.0,4,4
206,*/d̪yʁ/,/d̪yʁ/,0,0.0,0.0,3,3
207,*/d̪yʁ/,/d̪yʁ/,0,0.0,0.0,3,3
208,*/d̪yʁ/,/d̪yʁ/,0,0.0,0.0,3,3
209,*/d̪yʁ/,/d̪yʁ/,0,0.0,0.0,3,3
210,*/ivʁ/,/ivʁ/,0,0.0,0.0,3,3
211,*/ɛ/,/ʒə/,2,1.0,0.6923076923076923,1,2
212,*/sa/,/sa/,0,0.0,0.0,2,2
213,*/si/,/si/,0,0.0,0.0,2,2
214,*/su/,/sə/,1,0.5,0.17307692307692307,2,2
215,*/sɛl/,/sɛl/,0,0.0,0.0,3,3
216,*/sɛl/,/sɛl/,0,0.0,0.0,3,3
217,*/sø/,/sø/,0,0.0,0.0,2,2
218,*/sø/,/sə/,1,0.5,0.1346153846153846,2,2
219,*/sɛt̪/,/sɛt̪/,0,0.0,0.0,3,3
220,*/se/,/sə/,1,0.5,0.057692307692307696,2,2
221,*/se/,/se/,0,0.0,0.0,2,2
222,*/esɛ/,/esɛ/,0,0.0,0.0,3,3
223,*/esɛ̃/,/esɛ̃/,0,0.0,0.0,3,3
224,*/efʁit̪e/,/efʁit̪e/,0,0.0,0.0,6,6
